# 🤖 bibliographic and local-artifact metadata; local paths are relative to /hdd1/sichanghe/paper_collection
id	title	authors	venue	year	evidence_class	official_url	pdf_path	text_path	pdf_sha256	pages
webrl	WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning	Zehan Qi, Xiao Liu, Iat Long Iong, et al.	ICLR	2025	accepted	https://openreview.net/forum?id=oVKEAFjEqv	WebRL- Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning, Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Jiadai Sun, Xinyue Yang, Yu Yang, Shuntian Yao, Wei Xu, Jie Tang, Yuxiao Dong, ICLR, 2025.pdf	WebRL- Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning, Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Jiadai Sun, Xinyue Yang, Yu Yang, Shuntian Yao, Wei Xu, Jie Tang, Yuxiao Dong, ICLR, 2025/WebRL- Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning, Zehan Qi, Xiao Liu, Iat Long Iong, Hanyu Lai, Xueqiao Sun, Jiadai Sun, Xinyue Yang, Yu Yang, Shuntian Yao, Wei Xu, Jie Tang, Yuxiao Dong, ICLR, 2025.md	28258e09a8c4c04a1c4b2a042001705071b71e66b6a91d395f89d4969a812e13	22
browsecomp	BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents	Jason Wei, Zhiqing Sun, Spencer Papay, et al.	OpenAI technical report and arXiv	2025	first-party report and preprint	https://openai.com/index/browsecomp/	BrowseComp- A Simple Yet Challenging Benchmark for Browsing Agents, Jason Wei, Zhiqing Sun, Spencer Papay, et al., OpenAI, 2025.pdf	BrowseComp- A Simple Yet Challenging Benchmark for Browsing Agents, Jason Wei, Zhiqing Sun, Spencer Papay, et al., OpenAI, 2025/BrowseComp- A Simple Yet Challenging Benchmark for Browsing Agents, Jason Wei, Zhiqing Sun, Spencer Papay, et al., OpenAI, 2025.md	1bd473341db82cb66ad7cdff3ee911f9d157c083bad08d33440fa7244a4b1916	11
paperbench	PaperBench: Evaluating AI's Ability to Replicate AI Research	Giulio Starace, Oliver Jaffe, Dane Sherburn, et al.	ICML	2025	accepted	https://proceedings.mlr.press/v267/starace25a.html	PaperBench- Evaluating AI's Ability to Replicate AI Research, Giulio Starace, Oliver Jaffe, Dane Sherburn, et al., ICML, 2025.pdf	PaperBench- Evaluating AI's Ability to Replicate AI Research, Giulio Starace, Oliver Jaffe, Dane Sherburn, et al., ICML, 2025/PaperBench- Evaluating AI's Ability to Replicate AI Research, Giulio Starace, Oliver Jaffe, Dane Sherburn, et al., ICML, 2025.md	4115ec4e330474765c65438b7b17357eef840c37b859ce0e44cd2c0e14912a76	31
rebench	RE-Bench: Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts	Hjalmar Wijk, Tao Lin, Joel Becker, et al.	ICML	2025	accepted	https://proceedings.mlr.press/v267/wijk25a.html	RE-Bench- Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts, Hjalmar Wijk, Tao Lin, Joel Becker, et al., ICML, 2025.pdf	RE-Bench- Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts, Hjalmar Wijk, Tao Lin, Joel Becker, et al., ICML, 2025/RE-Bench- Evaluating Frontier AI R&D Capabilities of Language Model Agents against Human Experts, Hjalmar Wijk, Tao Lin, Joel Becker, et al., ICML, 2025.md	0208b92fe358754e6e245a2596d468961dba3fce9455da3f899e71f061af3df6	61
scienceagentbench	ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery	Ziru Chen, Shijie Chen, Yuting Ning, et al.	ICLR	2025	accepted	https://openreview.net/forum?id=6z4YKr0GK6	ScienceAgentBench- Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery, Ziru Chen, Shijie Chen, Yuting Ning, et al., ICLR, 2025.pdf	ScienceAgentBench- Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery, Ziru Chen, Shijie Chen, Yuting Ning, et al., ICLR, 2025/ScienceAgentBench- Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery, Ziru Chen, Shijie Chen, Yuting Ning, et al., ICLR, 2025.md	da5b44b1d7ff4992127ce32daf5343031a109b7104d743bb18f0803fc904da7b	60
mle_bench	MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering	Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, et al.	ICLR	2025	accepted oral	https://iclr.cc/virtual/2025/oral/31914	MLE-bench- Evaluating Machine Learning Agents on Machine Learning Engineering, Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, et al., ICLR, 2025.pdf	MLE-bench- Evaluating Machine Learning Agents on Machine Learning Engineering, Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, et al., ICLR, 2025/MLE-bench- Evaluating Machine Learning Agents on Machine Learning Engineering, Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, et al., ICLR, 2025.md	1dab9a33edeab25ea359c4d6857d03512ccd47ed5782631031cfe8dcbebe7988	29
memoryagentbench	MemoryAgentBench: Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions	Yuanzhe Hu, Yu Wang, Julian McAuley	ICLR	2026	accepted	https://openreview.net/forum?id=DT7JyQC3MR	MemoryAgentBench- Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions, Yuanzhe Hu, Yu Wang, Julian McAuley, ICLR, 2026.pdf	MemoryAgentBench- Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions, Yuanzhe Hu, Yu Wang, Julian McAuley, ICLR, 2026/MemoryAgentBench- Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions, Yuanzhe Hu, Yu Wang, Julian McAuley, ICLR, 2026.md	04bcddc5f46273c8a8e1887b91dc4949cf9ee12fdb6995149445b794ba35a630	33
multiagentbench	MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents	Kunlun Zhu, Hongyi Du, Zhaochen Hong, et al.	ACL	2025	accepted main	https://aclanthology.org/2025.acl-long.421/	MultiAgentBench- Evaluating the Collaboration and Competition of LLM Agents, Kunlun Zhu, Hongyi Du, Zhaochen Hong, et al., ACL, 2025.pdf	MultiAgentBench- Evaluating the Collaboration and Competition of LLM Agents, Kunlun Zhu, Hongyi Du, Zhaochen Hong, et al., ACL, 2025/MultiAgentBench- Evaluating the Collaboration and Competition of LLM Agents, Kunlun Zhu, Hongyi Du, Zhaochen Hong, et al., ACL, 2025.md	035f673b459aecad0b7fa0fdac21dd9585f644cb29fba45f4ecbceef28f81eb5	43
agentdojo	AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents	Edoardo Debenedetti, Jie Zhang, Mislav Balunovic, et al.	NeurIPS	2024	accepted datasets and benchmarks	https://proceedings.neurips.cc/paper_files/paper/2024/hash/97091a5177d8dc64b1da8bf3e1f6fb54-Abstract-Datasets_and_Benchmarks_Track.html	AgentDojo- A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents, Edoardo Debenedetti, Jie Zhang, Mislav Balunovic, et al., NeurIPS, 2024.pdf	AgentDojo- A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents, Edoardo Debenedetti, Jie Zhang, Mislav Balunovic, et al., NeurIPS, 2024/AgentDojo- A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents, Edoardo Debenedetti, Jie Zhang, Mislav Balunovic, et al., NeurIPS, 2024.md	26a3f0426ee1d533e4dd9f62d1343a7a1d231fe718cfaf3a362cc7de829ae913	26
agentharm	AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents	Maksym Andriushchenko, Alexandra Souly, Mateusz Dziemian, et al.	ICLR	2025	accepted	https://proceedings.iclr.cc/paper_files/paper/2025/hash/c493d23af93118975cdbc32cbe7323f5-Abstract-Conference.html	AgentHarm- A Benchmark for Measuring Harmfulness of LLM Agents, Maksym Andriushchenko, Alexandra Souly, Mateusz Dziemian, et al., ICLR, 2025.pdf	AgentHarm- A Benchmark for Measuring Harmfulness of LLM Agents, Maksym Andriushchenko, Alexandra Souly, Mateusz Dziemian, et al., ICLR, 2025/AgentHarm- A Benchmark for Measuring Harmfulness of LLM Agents, Maksym Andriushchenko, Alexandra Souly, Mateusz Dziemian, et al., ICLR, 2025.md	a319f6d5a5e7dd773e0ca1cef62c043e6045c7be6478bcc243815030bc6b9c7f	36
st_webagentbench	ST-WebAgentBench: A Benchmark for Evaluating Safety and Trustworthiness in Web Agents	Ido Levy, Ben Wiesel, Sami Marreed, et al.	ICLR	2026	accepted	https://openreview.net/forum?id=MuCDzH0ctf	ST-WebAgentBench- A Benchmark for Evaluating Safety and Trustworthiness in Web Agents, Ido Levy, Ben Wiesel, Sami Marreed, et al., ICLR, 2026.pdf	ST-WebAgentBench- A Benchmark for Evaluating Safety and Trustworthiness in Web Agents, Ido Levy, Ben Wiesel, Sami Marreed, et al., ICLR, 2026/ST-WebAgentBench- A Benchmark for Evaluating Safety and Trustworthiness in Web Agents, Ido Levy, Ben Wiesel, Sami Marreed, et al., ICLR, 2026.md	3ee56f95b39fb59a6a19c0c6a53638c1adea5e8366216ce1bb321cc9a4ae0f8d	43
ai_control	AI Control: Improving Safety Despite Intentional Subversion	Ryan Greenblatt, Buck Shlegeris, Kshitij Sachan, Fabien Roger	ICML	2024	accepted	https://proceedings.mlr.press/v235/greenblatt24a.html	AI Control- Improving Safety Despite Intentional Subversion, Ryan Greenblatt, Buck Shlegeris, Kshitij Sachan, Fabien Roger, ICML, 2024.pdf	AI Control- Improving Safety Despite Intentional Subversion, Ryan Greenblatt, Buck Shlegeris, Kshitij Sachan, Fabien Roger, ICML, 2024/AI Control- Improving Safety Despite Intentional Subversion, Ryan Greenblatt, Buck Shlegeris, Kshitij Sachan, Fabien Roger, ICML, 2024.md	21ff7e1fba042526de65b36c9973babd26b417c29d6d40f28f74e0970aa069a6	42
